ENSEMBL_Genes,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000280064,1890.250802,1.146259465,0.219223125,5.228734275,1.71E-07,7.35E-06
ENSG00000116670,1780.057496,-0.680283948,0.130224755,-5.223921898,1.75E-07,7.53E-06
ENSG00000142549,33.87706186,-1.938225625,0.371579596,-5.216178836,1.83E-07,7.83E-06
ENSG00000011422,43137.92749,-1.025415635,0.196959887,-5.206215599,1.93E-07,8.23E-06
ENSG00000151117,313.9305684,1.793246271,0.344440763,5.2062545,1.93E-07,8.23E-06
ENSG00000123610,66412.6212,-1.142023449,0.219637724,-5.199577868,2.00E-07,8.50E-06
ENSG00000228037,250.6840931,-1.772166728,0.340833246,-5.199512507,2.00E-07,8.50E-06
ENSG00000178585,596.408697,0.922757241,0.177641391,5.194494567,2.05E-07,8.72E-06
ENSG00000279196,335.758324,1.268996577,0.244493064,5.190317285,2.10E-07,8.90E-06
ENSG00000127419,1014.67584,0.498676684,0.096236076,5.181806087,2.20E-07,9.29E-06
ENSG00000103222,18812.27913,-0.523054995,0.101080646,-5.17463051,2.28E-07,9.64E-06
ENSG00000127481,41311.32875,-0.720409405,0.139330454,-5.170509278,2.33E-07,9.84E-06
ENSG00000259207,1016.584169,-1.93770283,0.375195356,-5.1645171,2.41E-07,1.01E-05
ENSG00000128886,144.2833979,-0.861333292,0.166863563,-5.161901592,2.44E-07,1.03E-05
ENSG00000136404,691.4863166,1.339171305,0.259462506,5.161328801,2.45E-07,1.03E-05
ENSG00000185862,7311.353778,0.942283517,0.182870964,5.152723509,2.57E-07,1.07E-05
ENSG00000242574,2084.626007,0.861669809,0.167229217,5.152627169,2.57E-07,1.07E-05
ENSG00000158050,7597.641667,-1.017949124,0.197594176,-5.151716231,2.58E-07,1.07E-05
ENSG00000107738,9646.42505,1.450790915,0.281994477,5.144749396,2.68E-07,1.11E-05
ENSG00000169813,19779.68509,-0.559691361,0.108826069,-5.142989772,2.70E-07,1.12E-05
ENSG00000110047,34533.5193,-0.978638299,0.190671717,-5.132582397,2.86E-07,1.18E-05
ENSG00000120875,4893.531044,-1.391291643,0.271279264,-5.128632474,2.92E-07,1.21E-05
ENSG00000226328,485.5189231,0.684448528,0.133515936,5.12634331,2.95E-07,1.22E-05
ENSG00000187479,81.96341647,-1.500705224,0.292999645,-5.12186704,3.03E-07,1.25E-05
ENSG00000125510,304.4323327,1.41260147,0.275901279,5.119952593,3.06E-07,1.26E-05
ENSG00000142197,2439.097598,0.745793763,0.145674081,5.119605082,3.06E-07,1.26E-05
ENSG00000160883,3241.216467,1.665633666,0.325487505,5.117350564,3.10E-07,1.27E-05
ENSG00000168734,656.5669528,-0.743137651,0.145365844,-5.112188893,3.18E-07,1.30E-05
ENSG00000107736,787.685828,1.292710201,0.252897998,5.111587328,3.19E-07,1.30E-05
ENSG00000250138,333.2500373,1.731613533,0.339360308,5.102581217,3.35E-07,1.36E-05
ENSG00000107249,1644.342448,-1.964752238,0.385523531,-5.096322485,3.46E-07,1.41E-05
ENSG00000104154,1443.220412,-0.834576287,0.164109814,-5.085474594,3.67E-07,1.49E-05
ENSG00000177337,1403.043567,-0.639949724,0.125884162,-5.083639694,3.70E-07,1.50E-05
ENSG00000106178,2683.204158,1.856749247,0.365326609,5.082436378,3.73E-07,1.51E-05
ENSG00000188921,1705.995049,0.824607456,0.162402675,5.077548474,3.82E-07,1.54E-05
ENSG00000175544,104.9644752,1.374208921,0.270754607,5.075477512,3.87E-07,1.56E-05
ENSG00000153234,872.5999509,-1.054634862,0.207845037,-5.074140228,3.89E-07,1.56E-05
ENSG00000065457,3410.005529,-1.078273588,0.212857749,-5.065700422,4.07E-07,1.63E-05
